segment,start_d,end_d,duration_d,pH_sp
0,0.0,1.9567581112961003,1.9567581112961003,7.0
1,1.9567581112961003,3.818156621971438,1.8613985106753377,8.4
2,3.818156621971438,5.095955173367859,1.2777985513964207,7.0
3,5.095955173367859,5.914398024677552,0.8184428513096931,8.4
4,5.914398024677552,7.726811736070119,1.8124137113925674,7.0
5,7.726811736070119,8.867305897050882,1.1404941609807624,8.4
6,8.867305897050882,11.187295028026094,2.3199891309752125,7.0
7,11.187295028026094,13.57035001186875,2.3830549838426567,8.4
8,13.57035001186875,16.298093720335366,2.7277437084666154,7.0
9,16.298093720335366,18.297763543090745,1.9996698227553793,8.4
10,18.297763543090745,20.347433097131635,2.0496695540408894,7.0
11,20.347433097131635,21.56059095521877,1.2131578580871363,8.4
12,21.56059095521877,24.390649715286827,2.830058760068056,7.0
13,24.390649715286827,25.78847660363983,1.397826888353002,8.4
14,25.78847660363983,28.317539850249815,2.5290632466099865,7.0
15,28.317539850249815,29.855945559690575,1.5384057094407595,8.4
16,29.855945559690575,32.195212585345345,2.3392670256547703,7.0
17,32.195212585345345,33.02557564920001,0.8303630638546622,8.4
18,33.02557564920001,34.19542469007696,1.1698490408769544,7.0
19,34.19542469007696,34.9103586089267,0.7149339188497379,8.4
20,34.9103586089267,37.711623709005586,2.8012651000788864,7.0
21,37.711623709005586,40.60645208477018,2.8948283757645967,8.4
22,40.60645208477018,43.4740344956752,2.8675824109050154,7.0
23,43.4740344956752,44.030735423180246,0.5567009275050481,8.4
24,44.030735423180246,45.717948861726484,1.6872134385462374,7.0
25,45.717948861726484,46.90911385020053,1.1911649884740427,8.4
26,46.90911385020053,47.4860031549956,0.576889304795074,7.0
27,47.4860031549956,48.18678663399923,0.7007834790036327,8.4
28,48.18678663399923,50.78100295774003,2.5942163237407954,7.0
29,50.78100295774003,53.32308304645891,2.5420800887188832,8.4
30,53.32308304645891,55.947334849372865,2.624251802913953,7.0
31,55.947334849372865,58.41568835645697,2.468353507084103,8.4
32,58.41568835645697,61.14536050124404,2.7296721447870738,7.0
33,61.14536050124404,63.538975667014945,2.3936151657709033,8.4
34,63.538975667014945,65.0610924085894,1.5221167415744574,7.0
35,65.0610924085894,67.7812635710963,2.720171162506901,8.4
36,67.7812635710963,69.63328761086689,1.8520240397705834,7.0
37,69.63328761086689,70.2789785920852,0.6456909812183085,8.4
38,70.2789785920852,72.57580043289028,2.2968218408050802,7.0
39,72.57580043289028,74.21269206480763,1.6368916319173508,8.4
40,74.21269206480763,76.74978567778085,2.537093612973223,7.0
41,76.74978567778085,77.79058955002198,1.0408038722411277,8.4
42,77.79058955002198,80.77020506413098,2.9796155141089997,7.0
43,80.77020506413098,81.34282716792399,0.5726221037930088,8.4
44,81.34282716792399,83.98606973807371,2.6432425701497237,7.0
45,83.98606973807371,84.71423961161781,0.728169873544104,8.4
46,84.71423961161781,85.87103686590737,1.1567972542895575,7.0
47,85.87103686590737,86.92814096687025,1.0571041009628743,8.4
48,86.92814096687025,87.73329946098345,0.8051584941132006,7.0
49,87.73329946098345,90.63787746678156,2.9045780057981148,8.4
50,90.63787746678156,91.20620320851145,0.5683257417298933,7.0
51,91.20620320851145,93.15775625488423,1.95155304637278,8.4
52,93.15775625488423,94.55278446615651,1.395028211272276,7.0
53,94.55278446615651,95.55815519811293,1.0053707319564182,8.4
54,95.55815519811293,96.73879138708686,1.180636188973935,7.0
55,96.73879138708686,99.4135193386922,2.674727951605334,8.4
56,99.4135193386922,102.22413036883144,2.810611030139242,7.0
57,102.22413036883144,102.79620275529123,0.5720723864597943,8.4
58,102.79620275529123,105.20152991820211,2.4053271629108792,7.0
59,105.20152991820211,106.73221826329309,1.5306883450909794,8.4
60,106.73221826329309,107.2809162715536,0.5486980082605015,7.0
61,107.2809162715536,107.96063984474142,0.6797235731878288,8.4
62,107.96063984474142,110.38298580118744,2.422345956446023,7.0
63,110.38298580118744,111.62803577253129,1.245049971343846,8.4
64,111.62803577253129,113.3227731163029,1.6947373437716067,7.0
65,113.3227731163029,115.89127168060428,2.568498564301379,8.4
66,115.89127168060428,116.39152913393944,0.5002574533351662,7.0
67,116.39152913393944,117.07361516983488,0.6820860358954377,8.4
68,117.07361516983488,118.60858664461932,1.5349714747844416,7.0
69,118.60858664461932,120.41175308919476,1.8031664445754387,8.4
70,120.41175308919476,122.65911533704735,2.2473622478525925,7.0
71,122.65911533704735,125.29518793019919,2.6360725931518374,8.4
72,125.29518793019919,128.08194332371724,2.7867553935180496,7.0
73,128.08194332371724,130.60259116627105,2.5206478425538137,8.4
74,130.60259116627105,133.18305322924678,2.5804620629757267,7.0
75,133.18305322924678,135.7808635381775,2.5978103089307183,8.4
76,135.7808635381775,138.0333011827567,2.252437644579203,7.0
77,138.0333011827567,138.64070875914678,0.6074075763900737,8.4
78,138.64070875914678,140.80043479062974,2.159726031482961,7.0
79,140.80043479062974,142.1815416111943,1.381106820564554,8.4
80,142.1815416111943,143.60934501085745,1.427803399663162,7.0
81,143.60934501085745,144.70232622238797,1.092981211530514,8.4
82,144.70232622238797,147.0491471738477,2.3468209514597334,7.0
83,147.0491471738477,148.76665982837488,1.7175126545271837,8.4
84,148.76665982837488,150.706856409019,1.9401965806441126,7.0
85,150.706856409019,152.26264953292952,1.5557931239105187,8.4
86,152.26264953292952,153.04344437303962,0.7807948401101044,7.0
87,153.04344437303962,154.66433564688782,1.6208912738482013,8.4
88,154.66433564688782,157.6587104599824,2.9943748130945664,7.0
89,157.6587104599824,160.11723589507426,2.4585254350918717,8.4
